ANO;NOME_AGREGA;AGREGA;ESPVIDA;MORT1;T_ENV;RAZDEP;ANOSEST;T_ANALF15M;T_ANALF18M;T_ANALF25M;T_ATRASO_2_BASICO;T_ATRASO_2_FUND;T_FLBAS;T_FLFUND;T_FLMED;T_FLSUPER;T_FREQ5A6;T_FREQ6A14;T_FREQ15A17;T_FREQ18A24;T_FUND11A13;T_FUND15A17;T_FUND18M;T_FUND18A24;T_FUND25M;T_MED18A20;T_MED25M;T_SUPER25M;R1040;R2040;RDPC;RDPC1;RDPC2;RDPC3;RDPC4;RDPC5;RDPC10;RDPCT;RIND;RMPOB;RPOB;PRENTRAB;PIND;PMPOB;PPOB;GINI;THEIL;POP;POP5A6;POP6A14;POP6A17;POP11A13;POP15A17;POP15M;POP18M;POP18A20;POP18A24;POP25M;POP65M;POPT;POPTOT;I_ESCOLARIDADE;I_FREQ_PROP;IDHM_E;IDHM_L;IDHM_R;IDHM
2011;RJ;33;74,56;13,60;10,08;43,89;9,47;3,67;3,89;4,39;30,63;27,14;94,88;97,51;47,79;16,16;92,09;98,61;87,64;32,08;80,19;54,51;67,74;84,67;64,99;45,58;47,63;14,80;15,26;10,38;853,69;159,51;322,68;498,94;786,99;2501,80;3680,28;863,44;21,75;81,85;168,38;72,60;2,33;6,63;21,90;0,532;0,488;14289008;403798;2184399;3000791;806354;816392;12894523;12078131;721770;1687754;10390377;1633979;14127685;14289008;0,677;0,681;0,680;0,826;0,750;0,752
2012;RJ;33;74,90;13,14;11,05;45,59;9,70;3,79;4,00;4,50;26,08;22,46;94,94;98,02;49,67;15,49;93,34;98,84;86,76;31,30;81,95;57,74;68,55;84,82;65,98;46,07;48,20;15,26;15,00;10,24;898,92;161,75;348,94;538,37;838,14;2614,84;3829,25;914,26;17,24;73,01;154,45;73,43;2,76;6,56;18,63;0,529;0,480;14481719;417691;2135534;2917385;747970;781851;12998934;12217083;724936;1666815;10550268;1800870;14238774;14481719;0,686;0,698;0,694;0,832;0,759;0,762
2013;RJ;33;75,24;12,71;11,04;43,12;9,83;3,74;3,94;4,39;23,98;20,11;95,43;98,75;51,89;17,15;95,46;99,25;88,42;32,08;84,67;58,96;69,93;86,18;67,43;48,97;50,48;16,24;15,29;10,50;966,19;168,97;368,18;567,75;892,21;2818,91;4106,01;986,62;14,63;57,95;152,90;74,92;3,14;5,64;16,64;0,531;0,479;14980019;409805;2027207;2857431;705566;830224;13268821;12438597;736100;1658677;10779920;1810792;14669759;14980019;0,699;0,720;0,713;0,837;0,770;0,773
2014;RJ;33;75,57;12,29;11,66;43,23;9,94;3,21;3,38;3,81;22,17;18,12;94,82;97,83;51,84;16,75;93,81;98,64;87,36;33,19;87,93;58,51;70,86;87,06;68,38;46,70;51,54;16,27;14,47;9,83;997,62;199,70;390,05;593,49;915,16;2899,41;4266,22;1000,30;32,85;80,08;169,10;73,76;1,45;3,56;14,37;0,523;0,481;15677119;376780;1905396;2663477;627307;758081;13434915;12676834;743205;1685915;10990919;1921988;15635042;15677119;0,709;0,717;0,714;0,843;0,776;0,778
2015;RJ;33;75,88;11,89;12,15;43,59;10,03;3,02;3,19;3,54;21,63;17,68;95,62;98,07;53,54;16,74;95,81;99,26;89,29;33,30;86,58;60,48;72,60;87,89;70,27;46,57;52,52;16,46;14,93;9,94;932,21;190,40;361,25;544,74;822,86;2741,65;4118,91;933,91;40,56;94,46;170,96;73,50;1,16;4,32;16,06;0,530;0,490;16115050;383213;1887193;2678996;636340;791803;13559905;12768102;801268;1690008;11078094;2014541;16085805;16115050;0,726;0,724;0,724;0,848;0,765;0,779
2011;SP;35;76,47;11,58;8,73;41,71;9,48;3,67;3,85;4,42;11,71;9,94;94,62;96,66;67,12;17,08;95,48;98,77;84,39;24,84;92,21;78,86;70,34;92,80;66,40;66,17;49,06;15,89;11,43;7,98;908,80;202,12;408,36;598,68;894,49;2436,01;3489,73;918,81;13,99;72,66;167,72;80,91;1,71;4,04;14,22;0,480;0,393;39948679;1120627;5784502;7764527;2084186;1980025;34087946;32107921;1932214;4785973;27321948;3753354;39513716;39948679;0,703;0,832;0,787;0,858;0,761;0,802
2012;SP;35;76,82;11,19;9,08;41,95;9,69;3,81;4,02;4,57;10,55;8,74;94,87;97,07;69,30;17,88;93,19;98,71;85,76;27,12;95,45;80,14;69,70;91,30;66,06;63,51;50,73;16,20;11,89;8,24;993,08;220,62;438,38;640,33;969,65;2713,53;3916,28;1004,55;10,97;57,55;162,77;80,14;1,66;3,05;11,33;0,488;0,406;40304857;1131265;5681705;7652309;1940665;1970604;34503985;32533381;2014515;4688939;27844442;3939858;39844754;40304857;0,697;0,831;0,784;0,864;0,775;0,808
2013;SP;35;77,16;10,83;9,32;41,85;9,73;3,71;3,92;4,48;9,02;7,42;94,82;97,02;68,46;18,20;95,75;99,17;85,04;26,18;96,23;80,20;71,24;92,41;67,73;64,13;51,28;16,79;11,86;8,28;1008,99;216,39;449,88;650,80;984,13;2757,24;3951,67;1021,36;15,81;58,26;155,21;80,68;2,00;3,71;11,51;0,489;0,409;39735756;1144831;5592245;7638307;1941356;2046062;34934996;32888934;2097645;4681557;28207377;4079250;39254673;39735756;0,712;0,841;0,796;0,869;0,777;0,814
2014;SP;35;77,48;10,49;9,85;41,27;9,87;3,76;3,97;4,53;7,24;5,50;95,23;97,19;70,82;21,49;95,99;99,30;86,45;29,07;96,41;82,62;70,36;92,50;66,72;66,46;52,15;18,25;11,96;8,32;1047,38;234,23;453,10;666,55;1016,50;2858,39;4111,83;1054,70;20,25;65,72;162,92;80,57;1,39;2,78;9,97;0,489;0,411;40632812;1034369;5394495;7479449;1744607;2084954;35594007;33509053;2109296;4741009;28768044;4349019;40350800;40632812;0,704;0,854;0,800;0,875;0,783;0,819
2015;SP;35;77,79;10,16;10,45;41,36;9,99;3,53;3,72;4,25;6,76;5,11;95,22;97,39;72,86;20,55;97,07;99,32;86,06;29,25;97,11;83,61;72,00;93,30;68,55;65,87;53,60;18,46;11,60;8,10;954,58;210,43;423,03;625,47;944,88;2566,70;3674,70;962,78;17,43;68,91;158,81;78,67;1,75;3,82;12,16;0,482;0,402;42074767;1066361;5275705;7345010;1762281;2069305;36130294;34060989;2149123;4746623;29314366;4649533;41716372;42074767;0,720;0,859;0,810;0,880;0,768;0,819
2011;PR;41;75,49;11,53;8,26;42,51;8,52;6,27;6,71;7,83;18,30;15,66;92,27;95,42;58,08;20,21;87,52;98,01;81,67;30,42;90,33;68,87;60,04;85,31;55,30;53,45;39,22;12,37;10,54;7,58;813,49;187,22;374,31;550,63;831,85;2129,03;2958,92;820,54;17,49;78,89;169,08;79,85;1,68;4,60;16,36;0,467;0,374;10502812;293817;1513323;2115612;551836;602289;8505343;7903054;525319;1248867;6654187;895829;10412558;10502812;0,600;0,750;0,697;0,842;0,743;0,761
2012;PR;41;75,82;11,04;8,51;42,57;8,87;5,27;5,60;6,52;12,68;9,83;92,54;95,43;59,63;18,87;91,43;98,17;81,39;29,17;92,69;70,91;61,83;85,87;57,39;55,12;41,33;13,73;11,21;7,84;889,67;197,49;410,61;584,78;876,61;2384,53;3409,14;897,53;17,10;76,82;160,17;80,30;1,64;4,39;13,93;0,479;0,396;10664124;298124;1491796;2049160;524157;557364;8600630;8043266;543264;1253495;6789771;930593;10570754;10664124;0,618;0,775;0,719;0,847;0,757;0,774
2013;PR;41;76,15;10,57;8,63;41,79;9,12;5,33;5,65;6,51;10,97;8,69;93,40;96,73;60,75;21,03;93,28;98,84;83,35;30,28;94,00;73,66;65,39;87,33;61,42;56,77;44,53;14,62;10,48;7,43;925,99;214,79;434,87;630,33;935,31;2414,77;3403,72;934,28;22,90;69,80;160,10;80,77;1,84;3,72;12,01;0,465;0,373;10517962;288321;1414814;1952484;493112;537670;8724677;8187007;560374;1254282;6932725;951530;10424696;10517962;0,654;0,794;0,744;0,853;0,764;0,787
2014;PR;41;76,47;10,13;9,18;42,77;9,17;4,95;5,24;6,04;9,67;7,18;93,21;96,12;60,53;21,27;94,00;98,86;82,31;29,23;94,05;72,46;65,22;87,33;61,39;59,74;45,12;15,23;9,67;7,00;926,12;227,80;449,65;643,98;952,61;2370,34;3275,22;930,11;23,81;79,98;170,17;80,02;1,03;3,12;10,98;0,449;0,349;10863651;296725;1451705;1979025;471410;527320;8798138;8270818;550421;1221546;7049272;1019818;10817027;10863651;0,652;0,801;0,748;0,858;0,764;0,790
2015;PR;41;76,78;9,71;9,90;42,21;9,22;5,11;5,42;6,25;9,94;7,20;93,20;95,64;60,91;21,44;93,60;98,52;83,94;29,63;94,79;74,08;64,94;87,08;61,21;59,42;46,04;16,23;10,66;7,60;895,04;203,67;415,06;606,04;912,52;2350,13;3296,36;900,44;24,77;78,20;159,01;79,27;1,67;4,47;13,00;0,468;0,384;10930980;283463;1390006;1948163;447188;558157;8974267;8416110;527747;1212430;7203680;1108019;10865418;10930980;0,649;0,805;0,749;0,863;0,758;0,790
2011;SC;42;77,32;10,82;7,69;39,15;8,99;3,88;4,11;4,75;15,69;11,64;92,62;96,44;54,32;19,17;89,03;99,21;80,98;28,67;94,24;70,20;65,97;89,09;61,65;59,24;42,96;13,42;9,31;6,73;917,05;220,81;456,95;654,86;954,63;2282,13;3156,22;927,08;10,81;74,34;156,00;79,44;1,58;4,24;11,67;0,441;0,335;6146129;163614;841339;1180527;288645;339188;5145186;4805998;331216;756208;4049790;497493;6079618;6146129;0,660;0,782;0,739;0,872;0,762;0,791
2012;SC;42;77,70;10,47;8,84;41,44;9,09;3,15;3,35;3,91;11,59;8,93;92,70;95,88;58,65;22,92;92,12;99,19;79,96;30,62;94,64;74,47;64,18;90,33;59,26;59,55;40,98;13,10;8,36;6,03;946,26;258,57;501,85;702,67;980,18;2291,51;3180,15;955,69;4,83;65,46;158,66;78,53;1,15;2,51;8,02;0,421;0,300;6192773;167207;858926;1187784;310816;328858;5219377;4890519;305251;774945;4115574;580013;6131716;6192773;0,642;0,802;0,745;0,878;0,767;0,797
2013;SC;42;78,06;10,12;9,35;40,73;9,22;3,52;3,74;4,23;11,32;9,05;92,61;96,35;62,19;22,88;91,50;98,73;80,79;30,21;95,63;80,17;65,69;91,87;61,08;60,89;43,97;14,06;8,86;6,41;1002,97;251,96;518,10;731,45;1045,57;2468,72;3411,47;1012,12;14,47;61,05;156,86;78,48;1,40;2,79;8,77;0,432;0,322;6105087;166332;849178;1175102;292933;325924;5350891;5024967;318519;753530;4271437;622240;6049868;6105087;0,657;0,820;0,762;0,884;0,776;0,807
2014;SC;42;78,41;9,80;9,30;39,18;9,25;3,34;3,55;4,06;9,17;7,13;92,54;95,52;68,13;21,86;92,61;98,97;82,07;29,48;95,03;85,46;64,50;89,81;60,48;59,95;43,39;14,40;8,16;6,05;1042,82;283,63;546,05;776,57;1094,98;2508,73;3385,30;1050,17;5,73;66,75;164,78;76,94;0,86;1,98;7,20;0,417;0,295;6454182;159968;806781;1155935;251777;349154;5474935;5125781;307415;703182;4422599;627349;6408973;6454182;0,645;0,833;0,765;0,890;0,783;0,813
2015;SC;42;79,07;9,19;10,50;40,09;9,43;3,53;3,73;4,20;10,65;8,11;93,80;97,97;58,44;24,44;96,20;99,17;85,78;32,93;96,27;73,78;67,22;92,33;63,38;65,09;46,11;15,67;8,31;6,13;988,57;270,51;510,07;721,08;1047,01;2391,63;3241,85;990,94;22,69;89,86;174,48;75,87;0,66;2,11;8,01;0,422;0,310;6589516;169831;775323;1097774;268715;322451;5599937;5277486;332492;700796;4576690;718012;6573748;6589516;0,672;0,828;0,773;0,901;0,774;0,816
2011;RS;43;76,32;11,07;10,02;44,45;8,63;4,27;4,51;5,07;25,49;21,57;93,00;95,93;51,53;17,80;81,21;97,94;83,56;28,11;86,30;62,02;57,41;82,75;53,17;48,25;37,23;10,37;11,62;8,18;842,47;175,48;377,56;557,56;840,71;2261,57;3214,28;847,93;26,83;85,60;160,64;73,96;1,82;6,08;17,49;0,484;0,414;10718555;294048;1469978;2019720;526907;549742;8784890;8235148;509108;1181212;7053936;1110389;10649532;10718555;0,574;0,694;0,652;0,855;0,748;0,752
2012;RS;43;76,63;10,75;10,94;44,04;8,73;4,26;4,53;5,15;24,14;20,05;92,57;96,27;53,61;19,31;81,12;97,98;83,07;30,05;87,65;63,88;56,43;82,63;52,07;46,81;37,64;11,23;11,09;7,83;893,47;194,84;406,17;600,23;909,36;2354,40;3333,16;900,84;21,47;75,82;160,31;72,88;1,77;4,51;14,38;0,475;0,394;10786762;255386;1448491;2020592;539991;572101;8949276;8377175;551735;1194892;7182283;1218559;10698585;10786762;0,564;0,699;0,651;0,861;0,758;0,757
2013;RS;43;76,92;10,45;11,11;44,11;8,78;4,43;4,64;5,19;22,27;18,20;93,41;96,48;55,02;19,84;78,47;98,29;84,51;31,46;88,75;65,15;58,21;84,67;54,08;45,46;38,11;11,90;11,12;7,85;949,74;202,33;437,44;640,96;959,85;2511,78;3556,55;958,16;22,95;70,71;158,19;73,37;1,98;4,37;13,33;0,476;0,397;10702058;263653;1425432;1972049;513004;546617;9001503;8454886;512783;1141842;7313044;1242508;10608024;10702058;0,582;0,695;0,655;0,865;0,768;0,763
2014;RS;43;77,21;10,16;11,76;43,52;8,97;4,47;4,69;5,30;17,61;13,13;93,04;96,78;55,63;21,76;87,81;98,23;83,70;30,84;91,06;65,74;59,58;85,90;55,47;52,76;40,33;12,71;11,08;7,79;1000,62;218,14;463,37;673,90;1012,78;2652,95;3776,25;1004,54;34,01;81,81;163,91;72,91;1,30;3,66;11,88;0,475;0,397;10893559;250953;1319139;1854997;427398;535858;9141473;8605615;516833;1161226;7444389;1320405;10851074;10893559;0,596;0,743;0,691;0,870;0,776;0,779
2015;RS;43;77,50;9,88;12,03;43,52;9,18;3,53;3,71;4,14;17,67;13,27;93,62;97,08;55,51;21,26;85,81;98,53;84,50;30,88;93,38;66,36;60,60;85,37;56,88;53,03;41,45;13,54;10,43;7,51;921,89;204,32;432,53;635,90;944,77;2391,97;3321,33;925,96;27,78;85,50;159,80;71,67;1,45;4,79;13,09;0,464;0,383;10988987;253141;1301436;1824623;457505;523187;9204351;8681164;483324;1134583;7546581;1355431;10940700;10988987;0,606;0,746;0,696;0,875;0,763;0,778
2011;MS;50;74,12;16,47;6,83;44,20;8,54;6,37;6,75;8,02;17,99;14,28;93,48;96,33;48,96;18,21;88,04;98,27;80,82;30,21;90,81;58,99;58,72;80,08;54,45;46,88;38,80;13,01;13,18;8,97;806,48;174,55;332,06;496,81;752,72;2272,50;3338,40;811,90;27,08;78,00;173,64;82,16;1,81;4,67;19,75;0,506;0,441;2481263;72537;386726;520372;137188;133646;1926192;1792546;126147;298824;1493722;172665;2464700;2481263;0,587;0,712;0,668;0,819;0,741;0,743
2012;MS;50;74,42;15,93;7,20;41,82;8,68;6,99;7,50;8,70;19,15;12,86;91,50;95,11;43,28;21,19;88,06;97,55;79,40;31,72;88,36;53,43;59,07;80,61;54,85;50,00;39,89;14,53;11,45;8,25;862,05;188,80;382,15;558,28;837,28;2355,00;3268,39;869,27;12,89;79,90;163,86;84,19;1,56;4,64;15,49;0,484;0,403;2524748;73834;343172;483715;115358;140543;1991526;1850983;136751;302910;1548073;184594;2503773;2524748;0,591;0,700;0,661;0,824;0,752;0,746
2013;MS;50;74,71;15,42;7,76;44,59;8,67;7,17;7,61;8,92;15,45;11,32;92,31;96,69;51,02;17,55;90,95;98,06;77,89;26,99;88,51;61,56;58,41;75,80;54,99;42,73;40,51;13,45;12,19;8,39;898,04;195,97;389,67;579,40;860,17;2457,28;3569,92;906,52;23,00;67,56;159,74;83,03;2,30;4,38;14,15;0,492;0,421;2498916;86137;359760;480361;121426;120601;1996417;1875816;135359;308458;1567358;201413;2475534;2498916;0,584;0,709;0,665;0,829;0,759;0,751
2014;MS;50;75,00;14,94;8,05;44,93;8,80;6,45;6,75;7,77;14,49;12,30;92,77;97,12;51,75;19,50;94,71;98,56;78,32;29,18;92,86;61,19;58,88;80,50;55,03;48,67;40,64;14,23;11,37;7,82;930,50;225,40;416,97;601,33;896,39;2511,16;3652,72;932,76;26,33;79,14;170,52;80,69;0,99;2,68;11,22;0,480;0,401;2606039;87641;380964;501488;135718;120524;2024478;1903954;126419;287396;1616558;211537;2599715;2606039;0,589;0,744;0,688;0,833;0,764;0,762
2015;MS;50;75,28;14,48;8,74;44,14;8,90;5,98;6,36;7,40;17,50;13,43;92,89;97,75;47,70;20,54;92,07;98,62;78,45;30,95;89,33;58,66;60,46;82,45;56,31;45,72;43,26;15,42;11,09;7,84;868,80;204,20;385,92;581,37;856,50;2312,47;3270,97;872,15;25,43;88,38;168,48;80,76;1,02;3,81;13,38;0,474;0,388;2640988;72468;353479;478521;124169;125042;2077173;1952131;134314;309718;1642413;232417;2630824;2640988;0,605;0,714;0,676;0,838;0,753;0,756
2011;MT;51;72,92;19,05;5,71;42,49;8,32;7,39;8,04;9,55;15,73;13,12;93,41;96,46;58,35;19,07;88,16;98,50;85,08;31,75;91,85;71,72;62,84;87,43;57,58;53,70;38,58;11,69;11,17;7,89;733,55;169,10;325,63;483,03;735,69;1952,86;2762,92;738,82;21,13;89,63;170,56;85,49;1,68;5,99;20,37;0,476;0,389;3011307;95942;475445;664351;170403;188906;2355770;2166864;148111;381623;1785241;177134;2989851;3011307;0,628;0,764;0,716;0,799;0,726;0,747
2012;MT;51;73,19;18,59;6,24;45,58;8,43;8,05;8,68;10,38;14,98;12,34;93,09;95,76;61,94;16,69;89,33;97,72;80,85;28,87;92,41;75,41;60,99;84,74;56,08;52,87;38,11;12,06;14,04;9,33;826,61;167,24;336,02;515,36;770,38;2347,94;3533,73;832,60;23,14;87,52;161,85;82,94;1,93;6,45;18,97;0,519;0,478;3029388;104038;504627;678604;173567;173977;2359441;2185464;164909;374649;1810815;196580;3007593;3029388;0,610;0,775;0,716;0,803;0,745;0,755
2013;MT;51;73,46;18,14;7,33;42,87;8,68;7,83;8,46;9,98;12,98;10,46;94,00;97,58;63,26;19,16;89,45;99,29;83,94;31,89;92,98;78,35;62,08;85,98;57,28;50,28;41,48;13,08;12,42;8,89;828,50;162,83;351,55;529,25;808,07;2285,56;3194,86;847,30;15,50;54,38;150,19;83,32;3,66;6,27;17,90;0,501;0,425;2998087;97328;442000;625507;158933;183507;2467684;2284177;160717;382144;1902033;233973;2931562;2998087;0,621;0,778;0,721;0,808;0,746;0,758
2014;MT;51;73,72;17,71;6,67;43,46;8,74;7,30;7,73;9,09;9,98;8,61;92,98;95,87;61,08;19,09;91,08;98,51;79,19;28,40;93,87;76,22;64,24;87,11;60,03;56,13;42,19;13,06;10,17;7,12;844,21;210,53;403,19;579,92;840,23;2185,93;3121,02;848,36;21,17;75,02;162,92;84,94;1,32;3,26;12,44;0,457;0,362;3156966;95971;488002;646498;160653;158496;2469326;2310830;157223;358997;1951833;215510;3141541;3156966;0,642;0,793;0,739;0,812;0,749;0,767
2015;MT;51;73,97;17,30;7,81;45,38;8,88;7,12;7,59;8,89;8,17;6,43;93,53;97,42;61,31;17,16;91,63;98,90;79,57;27,57;95,14;79,29;64,66;88,36;60,41;52,15;43,09;12,15;9,78;7,04;754,98;189,03;356,21;533,85;777,72;1919,69;2666,41;759,67;19,36;79,04;173,41;83,33;1,58;4,17;17,13;0,451;0,351;3192204;88886;475548;636245;153259;160697;2507776;2347079;162895;357312;1989767;255742;3172495;3192204;0,647;0,796;0,742;0,816;0,731;0,763
2011;GO;52;73,31;17,20;7,10;43,19;8,34;7,18;7,63;9,00;17,39;14,01;94,41;96,14;56,71;18,27;82,00;98,16;85,48;30,38;89,57;67,63;62,56;86,44;57,83;52,55;38,95;10,50;11,33;8,00;717,59;156,76;322,55;481,23;709,51;1917,30;2715,33;726,94;15,33;83,35;165,39;83,43;2,11;6,74;21,54;0,478;0,387;6031667;184090;912543;1215768;309506;303225;4824699;4521474;312876;748230;3773244;444986;5954072;6031667;0,626;0,729;0,693;0,805;0,723;0,740
2012;GO;52;73,49;16,71;7,83;42,85;8,64;7,29;7,82;9,16;14,90;11,80;94,36;96,31;60,49;17,28;87,44;98,08;86,34;30,72;89,59;68,90;61,25;85,15;56,74;46,40;40,36;11,10;11,00;7,68;783,43;185,43;358,36;524,29;765,01;2089,14;2990,64;791,40;18,15;80,60;165,49;81,40;1,72;4,86;16,64;0,476;0,384;6159135;184571;884800;1224145;290106;339345;4954017;4614672;316576;732895;3881777;498242;6097065;6159135;0,613;0,731;0,689;0,808;0,737;0,745
2013;GO;52;73,66;16,24;8,05;43,08;8,71;7,06;7,53;8,84;16,50;14,01;93,02;96,07;55,53;21,95;86,83;97,99;83,72;33,53;88,19;67,58;61,65;86,13;57,13;53,18;41,08;11,68;11,31;7,89;809,40;185,40;364,25;534,39;790,25;2168,11;3107,89;819,88;17,25;72,47;163,41;81,42;2,01;4,60;16,48;0,480;0,388;6152067;180175;917130;1270860;312435;353730;5031942;4678212;324745;728572;3949640;519842;6073412;6152067;0,617;0,739;0,696;0,811;0,742;0,750
2014;GO;52;73,83;15,79;8,46;43,44;8,60;7,68;8,15;9,59;12,11;9,79;93,38;97,05;57,56;20,06;88,70;98,77;81,26;31,53;92,65;69,07;60,26;85,53;55,50;49,67;39,98;11,50;9,44;6,82;796,18;201,19;388,63;567,51;825,30;2010,42;2783,70;798,13;32,55;87,04;171,04;80,44;0,97;3,12;14,28;0,444;0,343;6389191;181350;904948;1237790;309236;332842;5115759;4782917;341767;757512;4025405;553428;6373595;6389191;0,603;0,750;0,697;0,814;0,739;0,750
2015;GO;52;74,00;15,35;8,48;42,89;9,12;6,09;6,47;7,53;11,58;8,00;94,26;97,05;58,31;21,41;90,54;98,13;85,42;33,44;96,55;67,85;64,02;87,23;59,90;53,03;44,19;13,08;9,57;6,91;741,56;183,28;357,07;531,65;770,61;1868,12;2586,69;748,18;16,43;74,67;163,02;80,79;1,89;4,76;16,44;0,447;0,345;6443217;176777;919608;1251460;314663;331852;5203061;4871209;320555;732877;4138332;562445;6386253;6443217;0,640;0,770;0,724;0,817;0,728;0,756
2011;DF;53;76,67;11,73;5,65;39,85;10,77;3,15;3,33;3,95;21,81;19,57;95,29;97,80;61,59;25,81;87,82;98,45;88,99;38,40;85,42;69,79;78,08;89,47;75,75;55,87;61,28;25,34;23,64;16,34;1458,64;180,21;404,21;650,97;1281,53;4774,31;6907,70;1479,15;16,47;73,07;163,38;80,86;2,33;5,33;16,94;0,603;0,667;2566685;72979;376560;507494;132465;130934;2065930;1934996;141069;329044;1605952;151185;2531111;2566685;0,781;0,747;0,758;0,861;0,837;0,819
2012;DF;53;76,98;11,47;6,31;41,79;10,82;3,49;3,64;4,32;19,65;17,00;95,84;97,52;64,91;25,24;90,98;98,76;90,37;38,65;89,38;71,33;78,67;92,32;75,76;59,06;61,87;26,55;21,26;14,98;1450,19;186,52;417,68;704,69;1412,05;4526,83;6421,94;1463,10;20,61;74,34;156,52;80,27;1,94;5,04;15,04;0,582;0,629;2617469;77761;400182;527627;140306;127445;2104765;1977320;142087;346429;1630891;172766;2594378;2617469;0,787;0,777;0,780;0,866;0,836;0,827
2013;DF;53;77,28;11,22;6,14;38,95;10,88;3,19;3,38;3,98;16,56;13,43;95,27;97,67;57,27;31,84;92,88;98,83;88,59;44,99;90,84;65,55;77,82;93,03;74,86;63,78;62,78;27,91;20,08;14,21;1532,22;211,08;459,21;772,19;1466,96;4762,45;6731,17;1548,97;16,80;67,22;161,60;79,89;1,74;3,81;12,87;0,574;0,599;2546176;75704;410508;544239;153502;133731;2187728;2053997;155312;334519;1719478;172044;2518649;2546176;0,778;0,783;0,781;0,871;0,844;0,832
2014;DF;53;77,57;10,99;6,99;39,89;10,98;2,73;2,89;3,35;14,07;10,36;95,81;97,53;60,98;30,59;91,32;98,92;89,55;41,40;95,15;68,44;78,59;92,33;76,03;61,02;62,86;28,18;20,32;14,45;1606,40;229,66;466,93;788,17;1510,80;5034,04;7077,43;1608,54;34,39;78,22;178,36;78,57;0,97;2,31;11,40;0,577;0,616;2760072;80813;395204;538229;132036;143025;2246546;2103521;149428;329953;1773568;200051;2756412;2760072;0,786;0,790;0,789;0,876;0,852;0,839
2015;DF;53;77,85;10,76;7,74;38,49;11,21;3,00;3,19;3,70;14,78;10,77;96,16;98,21;62,62;32,36;93,72;98,89;91,92;45,77;92,62;68,88;79,84;90,67;77,88;61,67;65,70;30,69;18,39;13,29;1508,74;224,12;472,94;765,78;1472,61;4631,29;6408,41;1515,93;18,97;87,79;162,14;78,60;1,01;3,94;11,52;0,563;0,581;2872689;77570;380343;540981;127535;160638;2338835;2178197;151553;333924;1844273;226527;2859063;2872689;0,798;0,792;0,794;0,881;0,842;0,839
2011;RM Belm;1500;74,23;18,41;6,61;42,98;9,52;3,25;3,43;3,96;29,65;25,12;94,28;95,89;49,54;16,28;91,48;97,80;88,96;40,42;81,17;55,96;73,28;85,18;70,71;40,28;50,41;11,20;14,19;9,69;604,67;119,19;240,99;359,71;562,06;1744,52;2554,68;613,48;26,83;89,18;160,96;79,07;3,41;12,50;33,70;0,521;0,461;1937382;63086;320428;444744;111323;124316;1639619;1515303;117439;269049;1246254;141555;1909549;1937382;0,733;0,672;0,692;0,821;0,695;0,736
2012;RM Belm;1500;74,45;17,77;6,76;42,86;9,88;2,92;3,09;3,65;29,10;24,40;94,99;96,52;48,26;15,54;88,65;98,35;90,05;40,94;80,33;53,56;73,50;84,54;71,11;42,40;51,61;12,86;13,80;9,60;628,10;120,13;252,48;382,97;596,58;1788,72;2570,15;637,27;26,46;86,38;154,02;79,20;3,84;11,69;29,74;0,516;0,457;1882512;60916;325519;441401;114333;115882;1659012;1543130;120096;274600;1268530;146058;1855416;1882512;0,735;0,662;0,686;0,824;0,701;0,737
2013;RM Belm;1500;74,67;17,18;7,30;42,60;9,73;3,42;3,65;4,38;24,22;19,98;93,89;96,40;50,09;14,46;89,01;97,81;87,95;35,38;88,85;55,93;72,00;85,78;69,05;45,30;50,55;10,84;12,19;8,56;581,10;120,19;249,60;372,50;581,12;1583,21;2254,42;592,76;26,40;75,35;156,73;77,34;4,50;10,39;30,97;0,492;0,405;1927748;60882;316010;434437;111958;118427;1688026;1569599;121098;276094;1293505;159230;1889837;1927748;0,720;0,698;0,705;0,828;0,689;0,741
